Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric,6.286625,17.000001,0.0,top
C10,220nF,C_0603_1608Metric,278.0192,11.0,-90.0,top
C11,220nF,C_0603_1608Metric,279.5,16.725,90.0,top
C12,1uF,C_0603_1608Metric,274.065,10.0,0.0,top
C13,4700nF,C_0603_1608Metric,271.615,18.0,180.0,top
C14,10uF,C_0603_1608Metric,271.065,10.0,180.0,top
C2,220nF,C_0603_1608Metric,91.286625,17.000001,0.0,top
C3,220nF,C_0603_1608Metric,176.286625,17.000001,0.0,top
C4,220nF,C_0603_1608Metric,261.275,17.0,0.0,top
C5,220nF,C_0603_1608Metric,346.236625,17.000001,0.0,top
C6,220nF,C_0603_1608Metric,431.236625,17.000001,0.0,top
C7,220nF,C_0603_1608Metric,516.236625,17.000001,0.0,top
C8,220nF,C_0603_1608Metric,601.236625,17.000001,0.0,top
C9,220nF,C_0603_1608Metric,278.0192,14.275,90.0,top
J1,GPIO_Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,312.30881,14.23,-90.0,top
R1,100,R_0603_1608Metric,3.175,17.0,180.0,top
R12,22,R_0603_1608Metric,275.325,6.5,180.0,top
R13,22,R_0603_1608Metric,286.825,5.0,0.0,top
R14,22,R_0603_1608Metric,285.5,13.175,90.0,top
R2,100,R_0603_1608Metric,88.186625,17.000001,180.0,top
R3,100,R_0603_1608Metric,173.186625,17.000001,180.0,top
R4,100,R_0603_1608Metric,258.175,17.0,180.0,top
R5,100,R_0603_1608Metric,343.186625,17.000001,180.0,top
R6,100,R_0603_1608Metric,428.175,17.000001,180.0,top
R7,100,R_0603_1608Metric,513.175,17.000001,180.0,top
R8,100,R_0603_1608Metric,598.186625,17.000001,180.0,top
R9,10000,R_0603_1608Metric,276.4692,13.675,-90.0,top
U1,IM73D122V01,IM73D122V01,5.99,13.5,0.0,top
U10,TPS7A4700RGWT,RGW0020A-IPC_A,272.5,14.0,-90.0,top
U2,ADAU7118,LFCSP-16,281.1638,12.75,90.0,top
U3,IM73D122V01,IM73D122V01,90.99,13.5,0.0,top
U4,IM73D122V01,IM73D122V01,175.99,13.5,0.0,top
U5,IM73D122V01,IM73D122V01,260.99,13.5,0.0,top
U6,IM73D122V01,IM73D122V01,345.99,13.5,0.0,top
U7,IM73D122V01,IM73D122V01,430.99,13.5,0.0,top
U8,IM73D122V01,IM73D122V01,515.99,13.5,0.0,top
U9,IM73D122V01,IM73D122V01,600.99,13.5,0.0,top
